filename, texts, noretweets, engtweets, oldscruff, newscruff
rona-rumours-corpus-ᾱ-2020-06-30.jsonl.gz,    19361,    21790,    19361,    12067,     4323
rona-rumours-corpus-ᾱ-2020-07-01.jsonl.gz,    16700,    19376,    16700,    10501,     3940
rona-rumours-corpus-ᾱ-2020-07-02.jsonl.gz,    17218,    19715,    17218,    11006,     4049
rona-rumours-corpus-ᾱ-2020-07-03.jsonl.gz,    17185,    19386,    17185,    11008,     3963
rona-rumours-corpus-ᾱ-2020-07-04.jsonl.gz,    20032,    22108,    20032,    12622,     4459
rona-rumours-corpus-ᾱ-2020-07-05.jsonl.gz,    33399,    36240,    33399,    21846,     7116
rona-rumours-corpus-ᾱ-2020-07-06.jsonl.gz,    25516,    28395,    25516,    16567,     5599
rona-rumours-corpus-ᾱ-2020-07-07.jsonl.gz,    17556,    20273,    17556,    11180,     4097
rona-rumours-corpus-ᾱ-2020-07-08.jsonl.gz,    17936,    20577,    17936,    11720,     4476
rona-rumours-corpus-ᾱ-2020-07-09.jsonl.gz,    17865,    20423,    17865,    11654,     4121
rona-rumours-corpus-ᾱ-2020-07-10.jsonl.gz,    16046,    18405,    16046,    10340,     3740
rona-rumours-corpus-ᾱ-2020-07-11.jsonl.gz,    14377,    16745,    14377,     9033,     3285
rona-rumours-corpus-ᾱ-2020-07-12.jsonl.gz,    18009,    20185,    18009,    11262,     3940
rona-rumours-corpus-ᾱ-2020-07-13.jsonl.gz,    20004,    22553,    20004,    12805,     4640
rona-rumours-corpus-ᾱ-2020-07-14.jsonl.gz,    21493,    24715,    21493,    13151,     4864
rona-rumours-corpus-ᾱ-2020-07-15.jsonl.gz,    21373,    24486,    21373,    13312,     4711
rona-rumours-corpus-ᾱ-2020-07-16.jsonl.gz,    20155,    23050,    20155,    12602,     4653
rona-rumours-corpus-ᾱ-2020-07-17.jsonl.gz,    18689,    21450,    18689,    12013,     4583
rona-rumours-corpus-ᾱ-2020-07-18.jsonl.gz,    14307,    16471,    14307,     8835,     3475
rona-rumours-corpus-ᾱ-2020-07-19.jsonl.gz,    15934,    18512,    15934,     9636,     3659
rona-rumours-corpus-ᾱ-2020-07-20.jsonl.gz,    17491,    20136,    17491,    11054,     4052
rona-rumours-corpus-ᾱ-2020-07-21.jsonl.gz,    13548,    14821,    13548,     8886,     3510
